"Did.You.Recognize1","Did.You.Recognize2","Did.You.Recognize3","Did.You.Recognize4","Did.You.Recognize5","Did.You.Recognize6","Did.You.Recognize7","Did.You.Recognize8","Did.You.Recognize9","Did.You.Recognize10","Did.You.Recognize11","Did.You.Recognize12","Did.You.Recognize13","Did.You.Recognize14","Did.You.Recognize15","Did.You.Recognize16","Did.You.Recognize17","Did.You.Recognize18","Did.You.Recognize19","Did.You.Recognize20"
"C","C","NR","C","RNN","C","TT","NR","NR","C","C","C","C","C","NR","NR","RNN","RNN","C","NR"
"NR","RNN","TT","RNN","NR","NR","C","C","RNN","TT","C","RNN","NR","C","C","C","C","C","NR","C"
"C","C","NR","RNN","C","TT","NR","C","NR","NR","RNN","C","C","C","C","C","NR","C","NR","NR"
"C","C","RNN","C","TT","NR","NR","RNN","NR","NR","RNN","NR","NR","C","C","NR","NR","NR","NR","NR"
"NR","RNN","C","C","C","NR","NR","NR","RNN","NR","NR","C","NR","C","NR","NR","NR","NR","C","NR"
"C","NR","NR","C","C","C","NR","NR","NR","C","NR","NR","NR","NR","C","C","C","C","NR","C"
"C","C","NR","C","NR","C","C","C","C","C","NR","RNN","C","C","NR","C","NR","C","C","C"
"C","C","RNN","NR","RNN","NR","NR","RNN","NR","NR","TT","RNN","NR","NR","RNN","NR","NR","NR","RNN","NR"
"C","C","NR","C","RNN","C","C","C","C","C","NR","NR","C","NR","NR","NR","C","C","C","NR"
"C","NR","C","NR","NR","NR","RNN","NR","C","NR","NR","C","C","NR","NR","C","NR","C","RNN","NR"
"NR","NR","NR","C","C","C","NR","RNN","NR","NR","C","NR","C","C","NR","C","RNN","NR","C","RNN"
"RNN","NR","NR","C","C","NR","C","NR","NR","RNN","C","TT","RNN","NR","TT","C","NR","C","RNN","RNN"
"C","C","RNN","RNN","RNN","C","RNN","NR","C","C","C","RNN","C","RNN","C","NR","NR","C","TT","NR"
"RNN","NR","NR","RNN","NR","RNN","RNN","NR","C","NR","NR","NR","NR","C","RNN","RNN","NR","RNN","NR","NR"
"NR","C","NR","C","C","RNN","NR","RNN","NR","NR","C","RNN","RNN","NR","C","TT","NR","RNN","RNN","NR"
"C","C","C","C","NR","NR","C","C","NR","C","NR","NR","NR","NR","NR","RNN","C","C","NR","RNN"
"NR","NR","NR","NR","NR","NR","C","NR","C","RNN","C","NR","NR","NR","NR","NR","RNN","RNN","NR","NR"
"NR","C","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","C","NR","NR","NR","C","NR","NR"
"C","C","RNN","NR","NR","NR","C","C","C","NR","C","NR","NR","C","NR","RNN","NR","C","NR","NR"
