"CelebrityID1","CelebrityID2","CelebrityID3","CelebrityID4","CelebrityID5","CelebrityID6","CelebrityID7","CelebrityID8","CelebrityID9","CelebrityID10","CelebrityID11","CelebrityID12","CelebrityID13","CelebrityID14","CelebrityID15","CelebrityID16","CelebrityID17","CelebrityID18","CelebrityID19","CelebrityID20","Did.You.Recognize1","Did.You.Recognize2","Did.You.Recognize3","Did.You.Recognize4","Did.You.Recognize5","Did.You.Recognize6","Did.You.Recognize7","Did.You.Recognize8","Did.You.Recognize9","Did.You.Recognize10","Did.You.Recognize11","Did.You.Recognize12","Did.You.Recognize13","Did.You.Recognize14","Did.You.Recognize15","Did.You.Recognize16","Did.You.Recognize17","Did.You.Recognize18","Did.You.Recognize19","Did.You.Recognize20"
"8135890","302167","412807","162617","476044","142510","219349","763024","3536351","5792809","707815","3504698","18120823","623737","18622157","2808834","386491","3414021","156126","158889","2","1","1","1","1","1","1","1","1","2","1","1","2","2","1","2","1","2","4","2"
"2172695","88923","2190438","1532027","14995351","39942","753300","219948","415175","73626","864","704723","102690","54764","19661665","690256","83688","5655","23680998","26954","1","2","1","2","2","4","1","1","3","1","1","4","4","4","4","1","1","1","2","1"
"4429395","248127","102685","22995","18717883","524577","19499","249897","968320","168540","13395562","2844938","5792809","29455","14279","169833","156126","534366","13717","331124","1","1","1","1","1","2","2","2","1","1","1","2","2","2","1","1","2","2","4","1"
"154698","8239846","3162905","24953","29490","13041163","39660","451281","566103","163282","20022961","225541","2110323","345792","44849","150996","9257001","101631","5422144","8786","2","2","1","2","1","2","4","1","1","4","2","1","2","1","2","2","1","1","2","1"
"12520860","11983070","19394613","6844407","2629332","69323","346200","45979","731111","212860","1762258","8490390","23680998","13736167","650426","6162301","149243","23805","5792809","171099","2","1","2","2","3","1","1","1","3","4","4","1","2","4","1","1","3","3","1","1"
"3747","414848","296256","71870","12153654","3591242","60328","39942","8083","2150841","23680998","621503","211518","4507822","68323","591104","276392","3841","534366","85406","1","2","1","2","2","1","1","2","1","1","2","1","1","1","4","1","1","1","2","2"
"71870","760163","1296564","9287211","80696","153295","26274410","534366","3382","21111","25832","154698","16707","2964059","1941155","4429395","12520860","704723","31460","168540","3","1","1","4","4","2","1","2","2","4","1","4","1","1","1","2","1","1","3","1"
"1491798","493900","54306","31341","13199916","1806","19084502","54174","45985","37275","4429395","17782843","1221476","14206625","14899333","4164817","113159","5422144","534366","5792809","1","1","1","4","2","1","1","1","1","1","4","2","2","1","1","1","1","2","2","2"
"2110323","47643","43373","16308","21566","42621","18938265","19394613","3270177","2991300","15003874","2150841","8490390","415175","30265","8394551","211518","52139","277011","14995351","2","1","1","1","1","4","1","2","2","1","4","2","2","2","1","2","1","2","4","2"
"23680998","8394247","168540","757257","1769827","1221476","42068","939583","534366","71870","331124","23805","9287211","154698","203421","27717","22570683","64673","704723","212860","2","1","4","4","1","4","1","3","2","4","1","4","1","2","1","1","1","2","2","1"
"17782843","173691","11983273","162617","319659","52711","4429395","19394613","171521","158879","179187","154698","7412236","19903","2777824","25169","25832","707815","26709","17173785","2","1","4","1","3","2","2","2","1","1","1","2","4","1","1","1","4","4","4","1"
"534366","42357","331124","650426","5729054","34071","89265","11217925","102690","52707","27834683","1873388","45218","4649","8135890","262376","16707","18995","249897","5052197","2","1","1","1","1","2","1","2","4","2","4","4","1","4","2","3","1","1","2","3"
"4429395","13331280","2575","621503","7412236","24041298","2777824","305473","2095762","3213059","241848","21247","85406","16705483","3092836","17450","44059","38301","64673","43568","2","4","1","2","2","2","1","1","2","1","1","3","2","2","3","4","4","4","4","2"
"9288","15263646","3414021","400738","508396","25493","16308","4408","6162301","159547","1116998","69323","60070","158889","276392","397810","509997","19672919","8135890","162617","2","1","4","2","1","1","1","1","1","1","1","4","1","2","1","1","1","1","2","1"
"6479315","43113","43373","12230","219349","19499","29455","162617","24041298","2110323","26182584","163416","52711","8135890","493129","162870","2184757","2150841","42357","52139","2","1","4","1","2","2","2","2","2","2","1","1","2","2","4","2","4","2","2","2"
"64673","4993996","5993647","343554","37275","2808834","168540","71870","60070","730831","20913924","54539","523032","222889","25571585","665823","43568","166777","83688","154698","2","1","2","3","1","2","2","2","1","1","1","2","2","1","2","1","2","1","2","2"
"7412236","21247","102685","2629332","13199916","43715","29455","20076","23680998","219349","265422","71870","37313","16121057","763860","6064346","240361","314475","12153654","171521","2","2","1","2","3","1","3","3","2","4","2","2","3","1","1","4","1","1","2","4"
"8955445","32817","258947","249897","12423551","7891","277451","40486","196338","20076","4014486","19394613","22048328","201949","650426","5422144","4429395","89265","13199916","19831","1","2","1","4","1","1","4","2","4","2","3","3","1","1","2","1","2","4","4","1"
"12520860","140308","198606","7412236","534366","16422","21504","3382","8322947","26581","4429395","2844938","27005455","89265","2798963","591104","19394613","6162301","460207","168540","1","1","1","2","2","4","1","1","1","1","1","2","2","1","1","1","4","1","1","1"
"623737","14995351","13199916","1824993","15326144","2110323","656593","7412236","157437","171521","255645","18642","6479315","183417","1792975","15252813","102690","18617829","3270177","5422144","2","2","4","1","2","4","1","2","1","1","1","1","2","1","1","4","1","1","1","2"
"2629332","42357","195306","20076","4471","162617","2323727","739547","2204744","7412236","6844407","2397","1656784","19376148","43568","9288","52711","102690","43373","23680998","3","1","1","2","1","1","1","2","2","2","2","4","1","2","2","2","2","2","3","2"
"6479315","6844407","7412236","524577","187807","399146","203421","163618","17173785","16705483","13041163","167805","690256","17181314","39660","14995351","1194370","178826","623737","20022961","2","2","2","1","4","1","4","1","1","2","2","4","1","4","3","2","1","1","2","2"
"14995351","39942","18617829","23035","52711","1061378","444645","939583","16477368","39660","12520860","42621","164390","18120823","171003","20076","38459","162870","24041298","15326144","2","2","1","2","2","1","1","2","2","3","2","3","1","3","1","2","3","2","2","1"
"12153654","76772","1806","2204744","5043192","353535","4429395","19394613","19376148","14995351","34226","154698","166959","6844407","876916","12788962","90095","11955","16175","44463","2","4","1","2","2","1","4","2","2","2","1","2","1","2","4","1","4","4","1","1"
"59600","12731","6844407","9288","6049880","52711","234756","66164","274539","19376148","2150841","400738","728776","4429395","3164979","8490390","23680998","46165","5792809","876916","1","1","2","1","2","2","2","2","4","2","2","2","2","2","4","1","2","1","1","1"
"3747","2323727","383899","93560","4014486","154698","262376","13331280","9288","296256","1769827","463533","1491798","42621","623737","356167","1996436","102994","23805","32817","1","1","1","2","1","2","2","1","2","1","1","1","1","4","2","1","4","1","4","2"
"8239846","8618","1030991","534366","17782843","1434568","88923","415175","1700594","274539","5052197","31501","62666","18622157","3504698","23680998","1142794","16477368","34016927","8135890","1","2","1","2","2","2","2","2","1","2","2","1","2","4","2","2","1","2","1","2"
"102994","23805","43568","54306","707815","415175","2150841","23680998","93759","24953","31501","4781788","331124","265030","82061","926934","20647767","42068","15852","8490390","1","4","1","1","1","3","2","2","1","1","1","1","1","1","1","2","1","2","1","2"
