"en_curid","outcome","name","TotalPageViews","participant"
"342753","NR","Audrey Tautou",9568455,9
"371475","C","Ruud van Nistelrooy",9387911,9
"3747","C","Bill Gates",54216010,9
"5806040","NR","Hrithik Roshan",12212662,9
"71870","C","Johnny Depp",83016743,9
"7819615","C","Luis Suárez",6937586,9
"7886","C","Drew Barrymore",22309505,9
"8135890","NR","Miley Cyrus",91947733,9
"11983273","RNN","Aishwarya Rai",21607556,10
"1221476","C","Chris Hemsworth",24440640,10
"151451","NR","Busta Rhymes",12227248,10
"1532027","NR","T.I.",22573624,10
"15852","RNN","John Lennon",58141089,10
"159547","C","Milla Jovovich",21724104,10
"15992","NR","Jimmy Carter",20970951,10
"18984642","TT","Brooke Shields",14417102,10
"18995","RNN","Martin Scorsese",17289562,10
"248127","RNN","Tommy Lee Jones",13396302,10
"2629332","C","Kristen Stewart",55438548,10
"301731","RNN","Kiefer Sutherland",12398973,10
"40547","NR","Ian Curtis",7327927,10
"52627","RNN","Antonio Banderas",16789456,10
"566103","NR","Landon Donovan",6201060,10
"6064346","NR","Cory Monteith",17613744,10
"6323098","NR","Mesut Özil",17921252,10
"68904","RNN","Michael J. Fox",23391970,10
"804581","C","Anne Frank",26806636,10
"9288","C","Elvis Presley",55896331,10
"10672","RNN","Frank Zappa",14976422,11
"142241","NR","Gene Simmons",13267706,11
"1535704","RNN","Chris Evans",5891160,11
"164120","RNN","Ethan Hawke",10854797,11
"1669496","NR","Dominique Strauss-Kahn",8107610,11
"202664","RNN","Diane Keaton",9338573,11
"215554","RNN","Usher",7756736,11
"262482","NR","Melanie Brown",7197549,11
"331124","C","Christian Bale",35700117,11
"337250","NR","J.J. Abrams",9100184,11
"383926","NR","Tim Roth",8977839,11
"424778","NR","Chris Jericho",14424551,11
"53029","NR","Muammar al-Gaddafi",29470548,11
"5570621","NR","Akon",27806472,11
"676082","C","Jessica Biel",22399556,11
"711747","RNN","Patrick Dempsey",12762025,11
"7335197","NR","Gonzalo Higuaín",9959631,11
"80903","RNN","Billie Joe Armstrong",13435021,11
"8135890","C","Miley Cyrus",91947733,11
"905487","NR","Hide",5118361,11
"153295","C","Daniel Radcliffe",31810849,12
"168540","NR","Lil Wayne",64484487,12
"19381538","NR","Jennifer Love Hewitt",22653089,12
"2150841","C","Lionel Messi",82454215,12
"23035","C","Pamela Anderson",19552713,12
"24041298","C","Robert Pattinson",50103232,12
"248095","RNN","Dominic Monaghan",8290861,12
"2796527","NR","T-Pain",12018033,12
"303225","NR","Triple H",29927201,12
"314563","RNN","Dennis Quaid",10534288,12
"337629","NR","Pat Morita",5935685,12
"419248","NR","Tony Shalhoub",5043633,12
"4643464","NR","Rajon Rondo",6288044,12
"62682","NR","Abdul Kalam",5566361,12
"63401","C","Stephen Fry",13578895,12
"6844407","RNN","Selena Gomez",87742946,12
"763024","NR","Alyssa Milano",15666527,12
"77880","C","Zinedine Zidane",20929448,12
"8485","C","Diego Maradona",22634139,12
"936829","NR","Zooey Deschanel",33206930,12
"113746","C","Sean Penn",19807896,13
"14328","NR","Hunter S. Thompson",11615777,13
"144171","RNN","Christina Aguilera",35311141,13
"1653786","NR","Elle Fanning",9650323,13
"172313","NR","Gerd Müller",6201931,13
"179331","RNN","Will Ferrell",17485814,13
"18984642","C","Brooke Shields",14417102,13
"219361","NR","Chloë Sevigny",8559979,13
"26182584","NR","Fedor Emelianenko",20015675,13
"273484","NR","Thom Yorke",9023607,13
"32472","NR","Vangelis",6223870,13
"3773365","NR","Sarah Wayne Callies",6988235,13
"3793726","NR","Jackson Rathbone",9488490,13
"493900","C","Patrick Swayze",27039978,13
"530567","NR","Bam Margera",12236577,13
"5570621","NR","Akon",27806472,13
"5792809","TT","Angelina Jolie",68213700,13
"68131","RNN","Martin Sheen",18030511,13
"6944155","RNN","Mark Wahlberg",34946991,13
"7079612","NR","Jennette McCurdy",17101881,13
"149243","TT","Emma Watson",46840359,14
"171268","NR","Chris Rock",13617327,14
"19376148","RNN","Stephen Hawking",48854549,14
"212860","NR","Macaulay Culkin",38342996,14
"223253","NR","John Cusack",13574480,14
"23725","RNN","Peter Falk",7123374,14
"23805","TT","Pope John Paul II",38369456,14
"27717","NR","Salma Hayek",23199811,14
"346200","NR","Kurt Angle",11699060,14
"353535","NR","Roman Abramovich",12300824,14
"3845","C","Brigitte Bardot",15437339,14
"44059","NR","Harrison Ford",23806375,14
"45380","RNN","Jean-Paul Belmondo",5947610,14
"56439","NR","Jeff Bridges",14038009,14
"599745","NR","Dolph Lundgren",15392092,14
"623737","NR","Cristiano Ronaldo",91677973,14
"7698038","NR","Radamel Falcao García",8819968,14
"79156","NR","Harvey Keitel",7483932,14
"8099","NR","Dave Grohl",18427139,14
"864","C","Andy Warhol",34354584,14
"11061022","NR","Saoirse Ronan",9982884,15
"12153654","C","Elizabeth II of the United Kingdom",54551771,15
"146638","NR","Ayrton Senna",18835095,15
"15622","NR","James Cameron",20317098,15
"159547","NR","Milla Jovovich",21724104,15
"19394613","C","Kim Kardashian",66670205,15
"2146365","NR","Jason Segel",17077243,15
"2150841","C","Lionel Messi",82454215,15
"22048328","C","Robin van Persie",14966195,15
"22378444","RNN","Susan Boyle",12074857,15
"224484","NR","Claire Danes",15441985,15
"528673","NR","Wesley Snipes",13496001,15
"534366","C","Barack Obama",112536577,15
"6064346","NR","Cory Monteith",17613744,15
"675561","NR","Lewis Hamilton",10487545,15
"7176557","NR","Chace Crawford",11625122,15
"73631","NR","M. Night Shyamalan",10631049,15
"78262","C","Van Morrison",6842348,15
"85406","C","Ozzy Osbourne",25287553,15
"91084","C","Guy Ritchie",8845939,15
"104743","RNN","Carl XVI Gustaf of Sweden",5605185,17
"1353497","NR","Shia LaBeouf",25697179,17
"159547","NR","Milla Jovovich",21724104,17
"16477368","NR","Katy Perry",61762831,17
"182997","NR","Kathleen Turner",5073243,17
"19672919","RNN","Ewan McGregor",19280024,17
"22112821","NR","Johnny Knoxville",12031341,17
"240390","NR","Fernando Alonso",8891161,17
"26182584","NR","Fedor Emelianenko",20015675,17
"262376","TT","Roger Federer",36800261,17
"3270177","NR","Leighton Meester",20287228,17
"352699","NR","Shahrukh Khan",27226861,17
"3591242","NR","Corbin Bleu",6736571,17
"420438","NR","Steven Tyler",17445293,17
"4408","RNN","Buddy Holly",10606988,17
"446099","NR","John Terry",7477045,17
"534366","C","Barack Obama",112536577,17
"57187","C","Mick Jagger",22402625,17
"623737","C","Cristiano Ronaldo",91677973,17
"707815","NR","Jason Statham",39879628,17
"14995351","C","Michael Jackson",145250649,19
"16228","NR","Jim Henson",8239911,19
